"LANGUAGE","Українська","Language name (in native language)."
"MOD_DESCRIPTION","Анархія дерев та інші функції","Mod description, visibile in content manager."
"ANARCHY_STATUS","Анархія дерев:","Status indicator text."
"ANARCHY_TIP","Якщо анархію ввімкнено, дерева не будуть автоматично сховані мережами або будівлями поряд.","Status indicator tooltip text."
"ANARCHY_REMOVE_TIP","Якщо видалення анархії ввімкнено, наявні дерева будуть видаляти стан анархії, якщо вони покриті мережею або будівлею (і будуть приховані).","Status indicator tooltip text."
"SNAPPING_STATUS","Прилипання дерев:","Status indicator text."
"SNAPPING_TIP","Якщо це увімкнено, нові дерева будуть прилипати до будівель при додаванні.","Status indicator tooltip text."
"FORESTRY_STATUS","Блокування лісництва:","Status indicator text."
"FORESTRY_TIP","Якщо це увімкнено, додавання або видалення дерев не вплине на покриття ресурсів лісництва на карті.","Status indicator tooltip text."
"ON","Увімк","Status indicator text."
"OFF","Вимк","Status indicator text."
"FORCE_OFF","Видалити анархію","Status indicator text."
"OPTIONS_GENERAL","Основне","Options tab title."
"OPTIONS_TREES","Дерева","Options tab title."
"KEYS","Клавіші","Options tab title."
"UI_OPTIONS","Користувацький інтерфейс","Options panel header."
"SHOW_BUTTONS","Показати кнопки стану","Checkbox in options panel."
"TRANSPARENT_UI","Використовувати прозоре тло кнопки","Checkbox in options panel."
"RESET_POS","Скинути розташування кнопки","Button in options panel."
"OPTIONS_LIMIT","Більше дерев","Options panel header."
"LOAD_OPTIONS","Дії при завантаженні","Options panel header."
"NETWORK_OVERLAP","Дерева під мережами","Options panel menu title."
"BUILDING_OVERLAP","Дерева під будівлями","Options panel menu title."
"LEAVE","Залишити без змін (за замовчуванням)","Options panel menu item."
"HIDE","Приховати","Options panel menu item."
"UNHIDE","Показати","Options panel menu item."
"DELETE","Видалити","Options panel menu item."
"TREE_OPTIONS","Опції дерев","Options panel header."
"SWAY_FACTOR","Ліміт нахилу дерев","Options slider title."
"TERRAIN_UPDATE","Оновити висоту дерева при зміні місцевості","Checkbox in options panel."
"TERRAIN_UPDATE_TIP","При виборі цього параметру висота дерева буде змінена відповідно до висоти місцевості, коли змінюється рельєф","Checkbox tooltip in options panel."
"KEEP_ABOVEGROUND","Тримати дерева над землею","Checkbox in options panel."
"KEEP_ABOVEGROUND_TIP","Якщо вибрано, то дерева будуть підняті до рівня місцевості, якщо рівень землі підіймається над ними","Checkbox tooltip in options panel."
"LOD_DETAIL","Деталізація LOD дерев","Dropdown in options panel."
"DETAIL_LOW","Низький (за замовчуванням)","Tree LOD detail option - low resolution (game default)."
"DETAIL_MED","Середній","Tree LOD detail option."
"DETAIL_HIGH","Високий","Tree LOD detail option."
"DETAIL_ULTRA","Ультра","Tree LOD detail option."
"DETAIL_INSANE","Божевільний","Tree LOD detail option - absolute maximum resolution, but only looks a little bit better than ultra."
"LOCK_FORESTRY_DEFAULT","Блокування лісництва за замовчуванням","Checkbox in options panel."
"LOCK_FORESTRY_DEFAULT_TIP","Якщо цю опцію обрано, кожного разу при запуску гри буде автоматично увімкнено блокування лісництва.","Checkbox tooltip in options panel."
"TROUBLESHOOTING","Усунення проблем","Options panel header."
"IGNORE_TA_DATA","Ігнорувати дані моду Tree Anarchy","Checkbox in options panel."
"IGNORE_TA_DATA_TIP","Якщо обрано, то всі дані, що знаходяться у збереженні гри з моду Tree Anarchy, будуть проігноровані. Увімкніть це, якщо у вас виникли проблеми з завантаженням ігор, збережених з Tree Anarchy.","Checkbox tooltip in options panel."
"KEY_ANARCHY","Перемкнути анархію дерев","Options panel key setting text."
"KEY_REMOVE_ANARCHY","Перемкнути видалення анархії","Options panel key setting text."
"KEY_SNAPPING","Перемкнути прилипання дерев","Options panel key setting text."
"KEY_FORESTRY","Перемкнути блокування лісництва","Options panel key setting text."
"KEY_ELEVATION_UP","Підняти дерево","Options panel key setting text."
"KEY_ELEVATION_DOWN","Опустити дерево","Options panel key setting text."
"KEY_SCALE_UP","Збільшити розмір дерева","Options panel key setting text."
"KEY_SCALE_DOWN","Зменшити розмір дерева","Options panel key setting text."
"REPEAT_DELAY","Затримка повторення клавіш (сек)","Options panel slider text."
"TREE_LIMIT","Ліміт дерев за замовчуванням","Options panel slider title."
"TREE_LIMIT_TIP","Це ліміт дерев за замовчуванням, котрий буде використовуватися для нових і завантажених ігор. Натомість збережені ігри з обмеженнями дерев більшими за цей будуть завантажені зі збереженим лімітом.","Options panel slider tooltip."
